2026-09-17T05:18:10Z | WARN  | blockchain/Server.go:3099        | bchn  | [ReportPeerFailure] Peer 12D3KooWECRdxC5YXaDZG16gcewMneDJ97TVUfTXhUzgZwpyaZCL failed: type=catchup, reason=BLOCK_INVALID (11): [ValidateBlock][Block 540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c (height: 828, id: 0, txCount: 2, size: 452
2026-09-17T05:18:10Z | DEBUG | blockchain/Server.go:835         | bchn  | [Blockchain Server] Sending notification: type:PeerFailure  hash:",f\xf7\xa4̑;\xca\xf7]ӈd\x13;\xe4u\x1b\xc0I}e\xd0@\xed\x12\x80\xf1\xc8\x13\x02T"  metadata:{metadata:{key:"failure_type"  value:"catchup"}  metadata:{key:"peer_id"  value:"12D3KooWECRdxC5YXaD
2026-09-17T05:18:10Z | WARN  | blockvalidation/Server.go:2332   | bval  | [catchup] Block 540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c is invalid, not trying alternative sources
2026-09-17T05:18:10Z | WARN  | peer_metrics_helpers.go:357      | bval  | [peer_metrics] Recording malicious attempt from peer 12D3KooWECRdxC5YXaDZG16gcewMneDJ97TVUfTXhUzgZwpyaZCL: invalid_block
2026-09-17T05:18:10Z | INFO  | services/p2p/Server.go:2419      | p2p   | [handlePeerFailureNotification] Peer 12D3KooWECRdxC5YXaDZG16gcewMneDJ97TVUfTXhUzgZwpyaZCL failed: type=catchup, reason=BLOCK_INVALID (11): [ValidateBlock][Block 540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c (height: 828, id: 0, txCount: 
2026-09-17T05:18:10Z | INFO  | p2p/sync_coordinator.go:715      | p2p   | [SyncCoordinator] Handling catchup failure: BLOCK_INVALID (11): [ValidateBlock][Block 540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c (height: 828, id: 0, txCount: 2, size: 452)] block is not valid -> BLOCK_INVALID (11): [validOrderAndBles
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:936            | blockassembly| [BlockAssembler][645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b] new best block header: 827
2026-09-17T05:18:10Z | DEBUG | BlockAssembler.go:945            | blockassembly| [BlockAssembler] best block header according to blockchain: 827: 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b
2026-09-17T05:18:10Z | DEBUG | BlockAssembler.go:946            | blockassembly| [BlockAssembler] best block header according to block assembly : 827: 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:962            | blockassembly| [BlockAssembler][645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b] best block header is the same as the current best block header: 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:1031           | blockassembly| [BlockAssembler][645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b] new best block header: 827 DONE
2026-09-17T05:18:11Z | DEBUG | kafka_producer_async.go:444      | bval  | Successfully sent message to topic invalid-blocks-teranode1, partition: 0, offset: 1
2026-09-17T05:18:11Z | INFO  | p2p/server_helpers.go:881        | p2p   | [processInvalidBlockMessage] processing invalid block 540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c: BLOCK_INVALID (11): [validOrderAndBlessed] block at height 828 spends consensus-frozen output 32663f4ad765f2c140c023288dbfaecc98ece57e23
2026-09-17T05:18:11Z | INFO  | p2p/server_helpers.go:923        | p2p   | [processInvalidBlockMessage] adding ban score to peer 12D3KooWECRdxC5YXaDZG16gcewMneDJ97TVUfTXhUzgZwpyaZCL for invalid block 540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c: BLOCK_INVALID (11): [validOrderAndBlessed] block at height 828 sp
2026-09-17T05:18:11Z | INFO  | services/p2p/Server.go:2841      | p2p   | [AddBanScore] Added score to peer 12D3KooWECRdxC5YXaDZG16gcewMneDJ97TVUfTXhUzgZwpyaZCL for reason invalid_block. New score: 60, Banned: false
